AC Repair,5,l,Pr. Coldy,Pr. Warm,AC Rep L1,50,
Adv. AC Repair,10,l,Pr. Coldy,Pr. Warm,AC Rep L2,30,
Law of Sandwiches,2,l,Pr. Jeff,Cook L1,30,Biz L2,10
Space Law,1,l,Pr. Jeff,Mr. Abed,Biz L1,25,
Naptime,4,Sports Hall,Mr. Dreamy,Garry,AC Repair L3,20,
Adv. Adv. AC Repair Lab,6,Tech Lab,Dr. Freez,Garry,AC Repair L3,20,
Adv. Adv. DnD,6,s,Mr. Abed,Troy,Biz L1,25,
Adv Naptime,5,c,Mr. Dreamy,Pr. Jeff,Biz L2,10,
Space Sim,3,s,Mr. Abed,DC L1,30,AC Repair L3,20
Ladders 101,4,l,Pr. Cloudy,Pr. Warm,DC L1,30
