,Lecture Hall A,Lecture Hall B,Computer Lab A,Tech Lab A,Sports Hall A,Sports Hall B,Lecture Hall C,
Monday 0,"AC Repair" Pr. Coldy | Pr. Warm | AC Rep LA (50),,"GIF or JIF" Pr. Gilbar | DC LA (30) | DC LC (5),,"Naptime" Mr. Dreamy | Garry | AC Repair LC (20),,
Monday 1,"AC Repair" Pr. Coldy | Pr. Warm | AC Rep LA (50),,"GIF or JIF" Pr. Gilbar | DC LA (30) | DC LC (5),,"Naptime" Mr. Dreamy | Garry | AC Repair LC (20),,
Monday 2,"AC Repair" Pr. Coldy | Pr. Warm | AC Rep LA (50),,,,"Naptime" Mr. Dreamy | Garry | AC Repair LC (20),,
Monday 3,"Ladders 202" Pr. Cloudy | Troy | DC LB (20),,,"Adv. Adv. AC Repair Lab" Dr. Freez | Garry | AC Repair LC (20),,,
Monday 4,"Ladders 202" Pr. Cloudy | Troy | DC LB (20),,,"Adv. Adv. AC Repair Lab" Dr. Freez | Garry | AC Repair LC (20),,,
Monday 5,"Ladders 202" Pr. Cloudy | Troy | DC LB (20),,,"Adv. Adv. AC Repair Lab" Dr. Freez | Garry | AC Repair LC (20),,,
Monday 6,"Adv. Ladders" Dr. Tall | Abed | DC LC (5),,,,,,
Monday 7,"Adv. Ladders" Dr. Tall | Abed | DC LC (5),,,,,,
Monday 8,"Adv. Ladders" Dr. Tall | Abed | DC LC (5),,,,,,
Monday 9,,,,,,,
Tuesday 10,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,"Can I Fry That?" Pr. Gilbar | Cory R | DC LA (30),,"Adv. Adv. DnD" Mr. Abed | Troy | Biz LA (25),,
Tuesday 11,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,"Can I Fry That?" Pr. Gilbar | Cory R | DC LA (30),,"Adv. Adv. DnD" Mr. Abed | Troy | Biz LA (25),,
Tuesday 12,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,"Can I Fry That?" Pr. Gilbar | Cory R | DC LA (30),,"Adv. Adv. DnD" Mr. Abed | Troy | Biz LA (25),,
Tuesday 13,"Baby Talk" Pr. Robinson | Ch. Chapman | DC LC (5),,,,,,
Tuesday 14,"Baby Talk" Pr. Robinson | Ch. Chapman | DC LC (5),,,,,,
Tuesday 15,"Baby Talk" Pr. Robinson | Ch. Chapman | DC LC (5),,,,,,
Tuesday 16,,,,,,,
Tuesday 17,,,,,,,
Tuesday 18,,,,,,,
Wednesday 19,,,"Adv Naptime" Mr. Dreamy | Pr. Jeff | Biz LB (10),,"PEE" Ch. Chapman | PEE LA (40) | DC LC (5),,
Wednesday 20,,,"Adv Naptime" Mr. Dreamy | Pr. Jeff | Biz LB (10),,"PEE" Ch. Chapman | PEE LA (40) | DC LC (5),,
Wednesday 21,,,"Adv Naptime" Mr. Dreamy | Pr. Jeff | Biz LB (10),,"PEE" Ch. Chapman | PEE LA (40) | DC LC (5),,
Wednesday 22,,,,,,,
Wednesday 23,,,,,,,
Wednesday 24,,,,,,,
Wednesday 25,,,,,,,
Wednesday 26,,,,,,,
Wednesday 27,,,,,,,
Thursday 28,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,,,"Space Sim" Mr. Abed | DC LA (30) | AC Repair LC (20),,
Thursday 29,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,,,"Space Sim" Mr. Abed | DC LA (30) | AC Repair LC (20),,
Thursday 30,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,,,"Space Sim" Mr. Abed | DC LA (30) | AC Repair LC (20),,
Thursday 31,"Law of Sandwiches" Pr. Jeff | Cook LA (30) | Biz LB (10),,,,,,
Thursday 32,"Law of Sandwiches" Pr. Jeff | Cook LA (30) | Biz LB (10),,,,,,
Thursday 33,"Opinions" Pr. Taylor | DC LA (30) | DC LB (20),,,,,,
Thursday 34,"Opinions" Pr. Taylor | DC LA (30) | DC LB (20),,,,,,
Thursday 35,"Opinions" Pr. Taylor | DC LA (30) | DC LB (20),,,,,,
Thursday 36,,,,,,,
Friday 37,"Space Law" Pr. Jeff | Mr. Abed | Biz LA (25),,,,,,
Friday 38,"Ladders 101" Pr. Cloudy | Pr. Warm | DC LA (30),,,,,,
Friday 39,"Ladders 101" Pr. Cloudy | Pr. Warm | DC LA (30),,,,,,
Friday 40,"Ladders 101" Pr. Cloudy | Pr. Warm | DC LA (30),,,,,,
Friday 41,,,,,,,
Saturday 42,,,,,,,
