,Lecture Hall A,Lecture Hall B,Computer Lab A,Tech Lab A,Sports Hall A,Sports Hall B,Lecture Hall C,
Monday 0,"AC Repair" Pr. Coldy | Pr. Warm | AC Rep LA (50),,"GIF or JIF" Pr. Gilbar | DC LA (30) | DC LC (5),,"Naptime" Mr. Dreamy | Garry | AC Repair LC (20),,
Monday 7,"AC Repair" Pr. Coldy | Pr. Warm | AC Rep LA (50),,"GIF or JIF" Pr. Gilbar | DC LA (30) | DC LC (5),,"Naptime" Mr. Dreamy | Garry | AC Repair LC (20),,
Monday 14,"AC Repair" Pr. Coldy | Pr. Warm | AC Rep LA (50),,,,"Naptime" Mr. Dreamy | Garry | AC Repair LC (20),,
Monday 21,"Ladders 202" Pr. Cloudy | Troy | DC LB (20),,,"Adv. Adv. AC Repair Lab" Dr. Freez | Garry | AC Repair LC (20),,,
Monday 28,"Ladders 202" Pr. Cloudy | Troy | DC LB (20),,,"Adv. Adv. AC Repair Lab" Dr. Freez | Garry | AC Repair LC (20),,,
Monday 35,"Ladders 202" Pr. Cloudy | Troy | DC LB (20),,,"Adv. Adv. AC Repair Lab" Dr. Freez | Garry | AC Repair LC (20),,,
Monday 42,"Adv. Ladders" Dr. Tall | Abed | DC LC (5),,,,,,
Monday 49,"Adv. Ladders" Dr. Tall | Abed | DC LC (5),,,,,,
Monday 56,"Adv. Ladders" Dr. Tall | Abed | DC LC (5),,,,,,
Monday 63,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,"Can I Fry That?" Pr. Gilbar | Cory R | DC LA (30),,"Adv. Adv. DnD" Mr. Abed | Troy | Biz LA (25),,
Tuesday 8,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,"Can I Fry That?" Pr. Gilbar | Cory R | DC LA (30),,"Adv. Adv. DnD" Mr. Abed | Troy | Biz LA (25),,
Tuesday 15,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,"Can I Fry That?" Pr. Gilbar | Cory R | DC LA (30),,"Adv. Adv. DnD" Mr. Abed | Troy | Biz LA (25),,
Tuesday 22,"Baby Talk" Pr. Robinson | Ch. Chapman | DC LC (5),,,,,,
Tuesday 29,"Baby Talk" Pr. Robinson | Ch. Chapman | DC LC (5),,,,,,
Tuesday 36,"Baby Talk" Pr. Robinson | Ch. Chapman | DC LC (5),,,,,,
Tuesday 43,,,,,,,
Tuesday 50,,,,,,,
Tuesday 57,,,,,,,
Tuesday 64,,,"Adv Naptime" Mr. Dreamy | Pr. Jeff | Biz LB (10),,"PEE" Ch. Chapman | PEE LA (40) | DC LC (5),,
Wednesday 8,,,"Adv Naptime" Mr. Dreamy | Pr. Jeff | Biz LB (10),,"PEE" Ch. Chapman | PEE LA (40) | DC LC (5),,
Wednesday 15,,,"Adv Naptime" Mr. Dreamy | Pr. Jeff | Biz LB (10),,"PEE" Ch. Chapman | PEE LA (40) | DC LC (5),,
Wednesday 22,,,,,,,
Wednesday 29,,,,,,,
Wednesday 36,,,,,,,
Wednesday 43,,,,,,,
Wednesday 50,,,,,,,
Wednesday 57,,,,,,,
Wednesday 64,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,,,"Space Sim" Mr. Abed | DC LA (30) | AC Repair LC (20),,
Thursday 8,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,,,"Space Sim" Mr. Abed | DC LA (30) | AC Repair LC (20),,
Thursday 15,"Adv. AC Repair" Pr. Coldy | Pr. Warm | AC Rep LB (30),,,,"Space Sim" Mr. Abed | DC LA (30) | AC Repair LC (20),,
Thursday 22,"Law of Sandwiches" Pr. Jeff | Cook LA (30) | Biz LB (10),,,,,,
Thursday 29,"Law of Sandwiches" Pr. Jeff | Cook LA (30) | Biz LB (10),,,,,,
Thursday 36,"Opinions" Pr. Taylor | DC LA (30) | DC LB (20),,,,,,
Thursday 43,"Opinions" Pr. Taylor | DC LA (30) | DC LB (20),,,,,,
Thursday 50,"Opinions" Pr. Taylor | DC LA (30) | DC LB (20),,,,,,
Thursday 57,,,,,,,
Thursday 64,"Space Law" Pr. Jeff | Mr. Abed | Biz LA (25),,,,,,
Friday 10,"Ladders 101" Pr. Cloudy | Pr. Warm | DC LA (30),,,,,,
Friday 17,"Ladders 101" Pr. Cloudy | Pr. Warm | DC LA (30),,,,,,
Friday 24,"Ladders 101" Pr. Cloudy | Pr. Warm | DC LA (30),,,,,,
Friday 31,,,,,,,
Friday 38,,,,,,,
Saturday 0,,,,,,,
